"filename", "language", "SystemVerilog", "comment", "blank", "total"
"c:\Users\ywj\Desktop\GitLab\OPT_refactor\Src\refactor\AXIInteract.sv", "SystemVerilog", 1663, 155, 118, 1936
"c:\Users\ywj\Desktop\GitLab\OPT_refactor\Src\refactor\CPU_Defines.svh", "SystemVerilog", 575, 68, 59, 702
"c:\Users\ywj\Desktop\GitLab\OPT_refactor\Src\refactor\Cache_Defines.svh", "SystemVerilog", 90, 22, 21, 133
"c:\Users\ywj\Desktop\GitLab\OPT_refactor\Src\refactor\Cache_options.svh", "SystemVerilog", 13, 5, 9, 27
"c:\Users\ywj\Desktop\GitLab\OPT_refactor\Src\refactor\CommonDefines.svh", "SystemVerilog", 290, 65, 74, 429
"c:\Users\ywj\Desktop\GitLab\OPT_refactor\Src\refactor\Control.sv", "SystemVerilog", 286, 76, 75, 437
"c:\Users\ywj\Desktop\GitLab\OPT_refactor\Src\refactor\EXE\ALU.sv", "SystemVerilog", 49, 13, 3, 65
"c:\Users\ywj\Desktop\GitLab\OPT_refactor\Src\refactor\EXE\BranchSolve.sv", "SystemVerilog", 111, 18, 8, 137
"c:\Users\ywj\Desktop\GitLab\OPT_refactor\Src\refactor\EXE\Countbit.sv", "SystemVerilog", 81, 14, 13, 108
"c:\Users\ywj\Desktop\GitLab\OPT_refactor\Src\refactor\EXE\EXE_Reg.sv", "SystemVerilog", 118, 41, 6, 165
"c:\Users\ywj\Desktop\GitLab\OPT_refactor\Src\refactor\EXE\ExceptionInEXE.sv", "SystemVerilog", 41, 9, 5, 55
"c:\Users\ywj\Desktop\GitLab\OPT_refactor\Src\refactor\EXE\ForwardUnitInEXE.sv", "SystemVerilog", 27, 11, 4, 42
"c:\Users\ywj\Desktop\GitLab\OPT_refactor\Src\refactor\EXE\HILO.sv", "SystemVerilog", 34, 42, 5, 81
"c:\Users\ywj\Desktop\GitLab\OPT_refactor\Src\refactor\EXE\MULTDIV.sv", "SystemVerilog", 334, 38, 35, 407
"c:\Users\ywj\Desktop\GitLab\OPT_refactor\Src\refactor\EXE\TOP_EXE.sv", "SystemVerilog", 220, 17, 24, 261
"c:\Users\ywj\Desktop\GitLab\OPT_refactor\Src\refactor\EXE\TRAP.sv", "SystemVerilog", 38, 9, 1, 48
"c:\Users\ywj\Desktop\GitLab\OPT_refactor\Src\refactor\ID\DataHazard.sv", "SystemVerilog", 56, 14, 4, 74
"c:\Users\ywj\Desktop\GitLab\OPT_refactor\Src\refactor\ID\Decode.sv", "SystemVerilog", 1581, 47, 145, 1773
"c:\Users\ywj\Desktop\GitLab\OPT_refactor\Src\refactor\ID\EXT.sv", "SystemVerilog", 27, 9, 0, 36
"c:\Users\ywj\Desktop\GitLab\OPT_refactor\Src\refactor\ID\ForwardUnitInID.sv", "SystemVerilog", 43, 14, 4, 61
